bloque,hiperparametro,valor,detalle,donde_vive_en_el_codigo
Transport,Interpolation scheme,"piecewise linear, twice","first s -> level on (q_old, levels), then level -> q_reg on (levels, q_reg); this is the increasing rearrangement T = F_new^{-1} o F_old",conformal_metodos.py:mapa_transporte_banda.T
Transport,Bootstrap repetitions of the map,B = 150,resampling of the recent window with replacement; the mean of the B replicates is the map (bagging) and their standard deviation per level is the band,conformal_metodos.py:mapa_transporte_banda(B)
Transport,Tail shrinkage function,lambda(u) = 1 / (1 + (sd_boot(u)/tau)^2),"q_reg(u) = (1-lambda(u)) q_old(u) + lambda(u) q_new_bag(u); lambda ~ 1 where the map is stable and ~ 0 where it is noisy, and lambda = 0 is the identity, that is the old quantile",conformal_metodos.py:mapa_transporte_banda
Transport,Shrinkage strength,tau = 0.05 in PIT units,"fixed regularisation scale, not tuned against the test set",conformal_metodos.py:mapa_transporte_banda(tau)
Transport,Monotonisation,"running maximum and clip to [0,1]",keeps the transported map a quantile function,conformal_metodos.py:mapa_transporte_banda
ACI,Update,alpha_{t+1} = alpha_t + gamma (alpha - err_t),"err_t = 1{Y_t > U_t}, averaged over the plants of day t",rev_lib.py:aci
ACI,gamma reported in the submitted version,0.02 and 0.05,kept in the tables for continuity,rev_lib.py
ACI,gamma selected by rolling origin,0.005,lowest interval score on the inner validation set; no infinite intervals there,fase3_hiperparametros_elegidos.json
ACI,Window selected by rolling origin,120 days,"as above, for Transport+ACI",fase3_hiperparametros_elegidos.json
ACI,"Bound on alpha_t, submitted version","[-1, 2]",allows alpha_t <= 0 and hence q = +infinity: the origin of the infinite intervals,"rev_lib.py:aci(alpha_min, alpha_max)"
ACI,Recommended bound on alpha_t,alpha_min = 0.005,removes infinite intervals in all five windows at a cost of at most 0.5 points of coverage,fase4_metricas_benchmarks.py
ACI,Order of execution,"map refresh, then quantile, then interval, then ACI","on date t: (i) if a refresh is due, the map is recomputed from the window ending at t-7 and the whole calibration pool is transported; (ii) the quantile is taken from the transported pool at the CURRENT alpha_t, which does not yet include the error of t; (iii) the interval is emitted; (iv) the error of t enters the embargo queue and updates alpha only 7 steps later. The map never uses the alpha of ACI and ACI never uses the map: the only coupling is the pool",rev_lib.py:transporte_aci
Evaluation,Primary metric,"one-sided interval score IS = U + (2/alpha) max(y-U, 0)","proper, in MWh, and infinite if U is infinite",rev_lib.py:interval_score_unilateral
Evaluation,Standard error of coverage,clustered by date,averages the coverage of each day and takes the error across days,conformal_metodos.py:cobertura_clusterizada
Evaluation,Bootstrap of the differences between methods,2000 resamples of whole days,"the resampled unit is the day, not the row; 95% percentile interval",rev_lib.py:bootstrap_diferencia
Evaluation,Samples for the CRPS,300 per row,"sampled CRPS, E|X-y| - 0.5 E|X-X'|",rev_lib.py:crps_pred
Evaluation,Change-point detection,"PELT and binary segmentation, L2 cost, pen = sigma^2 log n, min_size = 3","BIC penalty with k = 1; the sensitivity grid spans k in {0.5, 1, 2, 3, 5} and min_size in {2, 3, 4}",fase6_cronologia.py:puntos_de_cambio
Seeds,Training of the base models,42,"deterministic XGBoost hist, n_jobs = 4, KFold",entrenar_baselines.py:SEED
Seeds,PIT atom and map bootstrap,20260720,"a single generator consumed in order: first the score, then gamma = 0.02 and then gamma = 0.05",rev_lib.py:SEED_CONFORMAL
Seeds,Sampling of the CRPS,11,,rev_lib.py:SEED_CRPS
Seeds,"Bootstrap of differences, blocks and permutations",20260901,,rev_lib.py:SEED_BOOTSTRAP
